nome da base;cancor1;cancor2;fract1;fract2;skewness;kurtosis;bayes;best_dt;mean_dt;worst_dt;#numerical_features;#categorical_features;#samples
CNAE-9.data;1000000;1000000;0.015567;0.029557;23130200;636512268;0.948148;0.879630;0.831481;0.777778;856;0;1080
abalone.data;0.986812;0.969405;0.696469;0.844678;0.647066;10267722;0.251393;0.062201;0.044286;0.033493;7;1;4177
agaricus-lepiota.data;1000000;1000000;0.132220;0.196022;6044117;111209892;0.953716;1000000;0.999754;0.997540;0;21;8124
anneal.data;1000000;1000000;0.101434;0.160451;1744091;97032383;0.759430;0.975000;0.934826;0.900000;9;29;798
arrhythmia.data;1000000;1000000;0.090332;0.123879;0.804096;107086795;0.608019;0.577778;0.490966;0.422222;206;73;452
audiology.standardized.data;1000000;1000000;0.077968;0.116559;0.894229;77371000;0.680000;0.750000;0.515000;0.300000;0;69;200
bridges.data.version1;1000000;1000000;0.253542;0.357762;1462307;9850104;0.573636;0.636364;0.360909;0.181818;4;7;108
bridges.data.version2;1000000;1000000;0.232230;0.325910;1443414;8713900;0.499091;0.500000;0.307273;0.090909;2;9;108
car.data;0.500000;0.500000;0.095238;0.190476;0.962875;1976190;0.852463;0.953488;0.901082;0.872832;0;6;1728
cmc.data;1000000;1000000;0.184681;0.273795;1276087;7244575;0.475938;0.299320;0.238978;0.190476;2;7;1473
dermatology.data;1000000;0.941659;0.283368;0.416045;1294824;5469702;0.882583;0.972973;0.923348;0.837838;33;1;366
ecoli.data;0.809324;0.454805;0.328279;0.514511;3589385;54187990;0.836364;0.735294;0.660873;0.558824;7;0;336
fertility_Diagnosis.txt;1000000;1000000;0.204189;0.330181;0.685461;4011523;0.880000;1000000;0.660000;0.400000;4;5;100
flag.data;1000000;1000000;0.128982;0.185998;2459763;17259259;0.155000;0.526316;0.386842;0.200000;10;18;194
glass.data;0.810403;0.542052;0.330141;0.504793;1640988;12650639;0.625541;0.681818;0.573160;0.380952;9;0;214
hayes-roth.data;0.584158;0.584158;0.203057;0.334665;1309444;3683475;0.850000;1000000;0.762500;0.500000;0;4;160
hepatitis.data;1000000;1000000;0.043034;0.057507;8983215;97597079;0.798333;0.933333;0.716250;0.600000;1;18;155
house-votes-84.data;1000000;1000000;0.467559;0.551296;0.000000;1286652;0.903488;0.931818;0.859672;0.772727;0;28;435
ionosphere.data;0.825558;0.748290;0.273483;0.372091;-0.581973;3338958;0.903254;0.942857;0.857381;0.742857;34;0;351
iris.data;0.962757;0.871754;0.727705;0.958010;0.066700;2234318;0.960000;1000000;0.926667;0.866667;4;0;150
krkopt.data;0.586621;0.422147;0.102776;0.189510;1902624;5563313;0.295017;0.514255;0.497433;0.478075;3;3;28056
mammographic_masses.data;0.684901;0.547262;0.278290;0.374601;3156561;64011228;0.785642;0.656250;0.558774;0.447917;3;2;961
pop_failures.dat;0.035498;0.034026;0.064602;0.122277;0.000005;1799986;0.920370;0.944444;0.868519;0.777778;18;0;540
tictactoe.data;0.709893;0.645163;0.133172;0.220621;0.752083;1755465;0.704605;0.937500;0.849638;0.791667;0;9;958
transfusion.data;1000000;0.634940;0.646526;0.881970;2258570;13148277;0.712577;0.506667;0.418450;0.360000;4;0;748
wilt.csv;0.983604;0.471186;0.462886;0.701966;7601146;153280772;0.808000;0.880000;0.792000;0.620000;5;0;500
wine.data;0.864564;0.787194;0.378611;0.519666;0.312700;2993705;0.966667;1000000;0.909804;0.777778;12;0;178
winequality-all.csv;1000000;0.720934;0.333190;0.438884;1543081;10353860;0.490999;0.406154;0.381556;0.343077;11;1;6497
yeast.data;0.581631;0.271800;0.234208;0.366897;2909882;31560363;0.468307;0.335570;0.282954;0.243243;8;0;1484
zoo.data;1000000;1000000;0.339808;0.472830;0.004431;2897727;0.901818;1000000;0.840909;0.700000;1;15;101
